ATAD3B,ENST00000673477.1,NM_031921.6
PRDM16,ENST00000270722.10,NM_022114.4
PEX10,ENST00000447513.7,NM_002617.4
SKI,ENST00000378536.5,NM_003036.4
PEX14,ENST00000356607.9,NM_004565.3
PLCH2,ENST00000378486.8,NM_014638.4
SPSB1,ENST00000328089.11,NM_025106.4
HES3,ENST00000377898.4,NM_001024598.4
SLC2A5,ENST00000377424.9,NM_003039.3
ENO1,ENST00000234590.10,NM_001428.5
PLEKHM2,ENST00000375799.8,NM_015164.4
CA6,ENST00000377443.7,NM_001215.4
NMNAT1,ENST00000377205.6,NM_022787.4
CCDC27,ENST00000294600.7,NM_152492.3
CHD5,ENST00000262450.8,NM_015557.3
DISP3,ENST00000294484.7,NM_020780.2
MMEL1,ENST00000378412.8,NM_033467.4
TMEM51,ENST00000376008.3,NM_001136218.2
TTLL10,ENST00000379289.6,NM_001130045.2
FBXO42,ENST00000375592.8,NM_018994.3
ALDH4A1,ENST00000375341.8,NM_003748.4
RERE,ENST00000400908.7,NM_001042681.2
CLCN6,ENST00000346436.11,NM_001286.5
CELA2A,ENST00000359621.5,NM_033440.3
CELA2B,ENST00000375910.8,NM_015849.3
RER1,ENST00000605895.6,NM_007033.5
PANK4,ENST00000378466.9,NM_018216.4
VPS13D,ENST00000620676.6,NM_015378.4
HTR6,ENST00000289753.2,NM_000871.3
RBP7,ENST00000294435.8,NM_052960.3
GPR157,ENST00000377411.5,NM_024980.5
ZBTB40,ENST00000375647.5,NM_014870.4
NPHP4,ENST00000378156.9,NM_015102.5
HES5,ENST00000378453.4,NM_001010926.4
CLIC4,ENST00000374379.9,NM_013943.3
SZRD1,ENST00000401088.9,NM_001114600.3
PDIK1L,ENST00000374269.2,NM_152835.5
NECAP2,ENST00000337132.10,NM_018090.5
LAPTM5,ENST00000294507.4,NM_006762.3
SLC30A2,ENST00000374276.4,NM_001004434.3
PHACTR4,ENST00000373839.8,NM_001048183.3
CNKSR1,ENST00000361530.11,NM_006314.3
FAM110D,ENST00000374268.5,NM_024869.3
ICMT,ENST00000343813.10,NM_012405.4
MED18,ENST00000373842.9,NM_017638.3
SLC9A1,ENST00000263980.8,NM_003047.5
LDLRAP1,ENST00000374338.5,NM_015627.3
ATP5IF1,ENST00000335514.10,NM_016311.5
SDC3,ENST00000339394.7,NM_014654.4
PAFAH2,ENST00000374282.8,NM_000437.4
DNAJC8,ENST00000263697.6,NM_014280.3
SESN2,ENST00000253063.4,NM_031459.5
SERINC2,ENST00000373709.8,NM_178865.5
AJAP1,ENST00000378191.5,NM_018836.4
PTAFR,ENST00000373857.8,NM_000952.5
NKAIN1,ENST00000373736.7,NM_024522.3
SNRNP40,ENST00000263694.9,NM_004814.3
SLC25A33,ENST00000302692.7,NM_032315.3
GJB3,ENST00000373366.3,NM_024009.3
DNAJC16,ENST00000375847.8,NM_015291.4
EYA3,ENST00000373871.8,NM_001990.4
ZNF593,ENST00000374266.7,NM_015871.5
FABP3,ENST00000373713.7,NM_004102.5
EPHA2,ENST00000358432.8,NM_004431.5
ARHGEF19,ENST00000270747.8,NM_153213.5
GPR153,ENST00000377893.3,NM_207370.4
KAZN,ENST00000376030.7,NM_201628.3
TNFRSF1B,ENST00000376259.7,NM_001066.3
UBE4B,ENST00000343090.11,NM_001105562.3
PLA2G5,ENST00000375108.4,NM_000929.3
PTPRU,ENST00000373779.8,NM_133178.4
ZMYM6,ENST00000357182.9,NM_007167.4
GJB5,ENST00000338513.1,NM_005268.4
AGO4,ENST00000373210.4,NM_017629.4
CDCA8,ENST00000373055.6,NM_001256875.2
CPLANE2,ENST00000375599.8,NM_030907.4
ZBTB8B,ENST00000609129.2,NM_001145720.2
RPL22,ENST00000234875.9,NM_000983.4
RNF207,ENST00000377939.5,NM_207396.3
PAX7,ENST00000420770.7,NM_001135254.2
EXTL1,ENST00000374280.4,NM_004455.3
CASZ1,ENST00000377022.8,NM_001079843.3
AGMAT,ENST00000375826.4,NM_024758.5
FAAP20,ENST00000378546.9,NM_182533.4
DNALI1,ENST00000652629.1,NM_003462.5
RRAGC,ENST00000373001.4,NM_022157.4
GRIK3,ENST00000373091.8,NM_000831.4
PLA2G2D,ENST00000375105.8,NM_012400.4
YRDC,ENST00000373044.3,NM_024640.4
GUCA2B,ENST00000372581.2,NM_007102.3
RCC2,ENST00000375436.9,NM_018715.4
PSMB2,ENST00000373237.4,NM_002794.5
CASP9,ENST00000333868.10,NM_001229.5
DDI2,ENST00000480945.6,NM_032341.5
UQCRH,ENST00000311672.10,NM_006004.4
THRAP3,ENST00000354618.10,NM_005119.4
PADI6,ENST00000619609.1,NM_207421.4
PADI4,ENST00000375448.4,NM_012387.3
C1orf122,ENST00000373042.5,NM_198446.3
EPHA10,ENST00000373048.9,NM_001099439.2
FHL3,ENST00000373016.4,NM_004468.5
RHBDL2,ENST00000372990.6,NM_017821.5
INPP5B,ENST00000373024.8,NM_005540.3
FAM183A,ENST00000335282.5,NM_001101376.3
ZMYM4,ENST00000314607.11,NM_005095.3
UTP11,ENST00000373014.5,NM_016037.4
C1orf216,ENST00000270815.5,NM_152374.2
ACTL8,ENST00000375406.2,NM_030812.3
RLF,ENST00000372771.5,NM_012421.4
CLSPN,ENST00000318121.8,NM_022111.4
GNL2,ENST00000373062.8,NM_013285.3
GJA4,ENST00000342280.5,NM_002060.3
MORN1,ENST00000378531.8,NM_024848.3
TTC22,ENST00000371276.9,NM_001114108.2
TIE1,ENST00000372476.8,NM_005424.5
MYCBP,ENST00000397572.5,NM_012333.5
MICOS10,ENST00000322753.7,NM_001032363.4
DLGAP3,ENST00000373347.6,NM_001080418.3
RIMS3,ENST00000372684.8,NM_014747.3
ECHDC2,ENST00000371522.9,NM_001198961.2
RAB3B,ENST00000371655.4,NM_002867.4
SMIM12,ENST00000521580.3,NM_138428.6
TMEM61,ENST00000371268.4,NM_182532.3
ERI3,ENST00000372257.7,NM_024066.3
CZIB,ENST00000294360.5,NM_017887.3
FAM151A,ENST00000302250.7,NM_176782.3
PODN,ENST00000312553.10,NM_153703.5
OSBPL9,ENST00000428468.6,NM_024586.6
C1orf210,ENST00000523677.6,NM_182517.3
PARS2,ENST00000371279.4,NM_152268.4
ZYG11A,ENST00000371528.2,NM_001004339.3
ZYG11B,ENST00000294353.7,NM_024646.3
L1TD1,ENST00000498273.2,NM_019079.5
TXNDC12,ENST00000371626.9,NM_015913.4
