gencode_id,gene_name,refseq_id
ENST00000517143,RNU6-58P,NR_046932
ENST00000384568,RNU6-83P,NR_046948
ENST00000362897,RNU6-78P,NR_046944
ENST00000384769,SNORD102,NR_002574
ENST00000384323,SNORA27,NR_002575
ENST00000516690,RNU6-63P,NR_046934
ENST00000363970,RNU6-82P,NR_046947
ENST00000365367,RNU6-53P,NR_046928
ENST00000517119,RNU6-64P,NR_046935
ENST00000427390,GOLGA6L6,NM_001145004
ENST00000384474,RNU6-71P,NR_046940
ENST00000454856,POTEB2,NM_001277303
ENST00000516986,RNU6-56P,NR_046930
ENST00000559471,SECISBP2L,NM_001193489
ENST00000261847,SECISBP2L,NM_014701
ENST00000439682,POTEB,NM_001277304
ENST00000439682,POTEB,NM_207355
ENST00000298232,TPTE,NM_199259
ENST00000361285,TPTE,NM_199261
ENST00000342420,TPTE,NM_199260
ENST00000411348,RNU6-57P,NR_046931
ENST00000569541,TTC25,NM_031421
ENST00000299443,POTED,NM_174981
ENST00000399848,LDLRAD4,NM_181482
ENST00000359446,LDLRAD4,NM_181481
ENST00000587757,LDLRAD4,NM_001003674
ENST00000585931,LDLRAD4,NM_001276249
ENST00000586765,LDLRAD4,NM_001003675
ENST00000592991,LDLRAD4,NM_001276251
ENST00000344577,LIPI,NM_198996
ENST00000516246,RNU6-69P,NR_046939
ENST00000362607,SNORA31,NR_002967
ENST00000400577,RBM11,NM_144770
ENST00000332663,OR4M2,NM_001004719
ENST00000562265,NKIRAS2,NM_001001349
ENST00000328795,OR4N4,NM_001005241
ENST00000285667,HSPA13,NM_006948
ENST00000316397,GOLGA6L1,NM_001001413
ENST00000316397,GOLGA6L1,NM_001271664
ENST00000516576,RNU6-68P,NR_046938
ENST00000388901,COPS2,NM_001143887
ENST00000388901,COPS2,NM_004236
ENST00000400566,SAMSN1,NM_022136
ENST00000400566,SAMSN1,NM_001286523
ENST00000285670,SAMSN1,NM_001256370
ENST00000435732,AF165138.7,NM_001256579
ENST00000283645,TUBGCP5,NM_052903
ENST00000453949,TUBGCP5,NM_001102610
ENST00000318948,NRIP1,NM_003489
ENST00000338376,RMDN3,NM_018145
ENST00000563924,PECAM1,NM_000442
ENST00000260447,GCHFR,NM_005258
ENST00000220496,DNAJC17,NM_018163
ENST00000322247,FAM210A,NM_001098801
ENST00000402563,FAM210A,NM_152352
ENST00000285679,USP25,NM_013396
ENST00000285681,USP25,NM_001283042
ENST00000400183,USP25,NM_001283041
ENST00000315087,ST8SIA5,NM_013305
ENST00000284878,CXADR,NM_001338
ENST00000400166,CXADR,NM_001207063
ENST00000356275,CXADR,NM_001207065
ENST00000400165,CXADR,NM_001207064
ENST00000400169,CXADR,NM_001207066
ENST00000592764,RNMT,NM_003799
ENST00000585916,PIAS2,NM_004671
ENST00000324794,PIAS2,NM_173206
ENST00000327171,GALK2,NM_001001556
ENST00000396509,GALK2,NM_002044
ENST00000563590,WI2-2610K16.1,NM_203348
ENST00000339775,BTG3,NM_001130914
ENST00000348354,BTG3,NM_006806
ENST00000344320,C15orf62,NM_001130448
ENST00000504988,EPPIN-WFDC6,NM_001198986
ENST00000357199,WFDC8,NM_181510
ENST00000289953,WFDC8,NM_130896
ENST00000288398,TPM1,NM_000366
ENST00000358278,TPM1,NM_001018006
ENST00000403994,TPM1,NM_001018005
ENST00000559556,TPM1,NM_001018004
ENST00000559397,TPM1,NM_001018020
ENST00000267996,TPM1,NM_001018007
ENST00000334895,TPM1,NM_001018008
ENST00000326000,WFDC9,NM_147198
ENST00000284881,C21orf91,NM_001100420
ENST00000284881,C21orf91,NM_017447
ENST00000400558,C21orf91,NM_001100421
ENST00000564535,MROH1,NM_001288814
ENST00000420329,CRTC3,NM_022769
ENST00000420329,CRTC3,NM_001042574
ENST00000564258,ZFYVE19,NM_001258421
ENST00000355341,ZFYVE19,NM_001077268
ENST00000336455,ZFYVE19,NM_032850
ENST00000299173,ZFYVE19,NM_001258420
ENST00000217109,CSTF1,NM_001324
ENST00000217109,CSTF1,NM_001033521
ENST00000452950,CSTF1,NM_001033522
ENST00000400131,CHODL,NM_001204177
ENST00000400135,CHODL,NM_001204178
ENST00000400127,CHODL,NM_001204176
ENST00000299295,CHODL,NM_001204175
ENST00000299295,CHODL,NM_024944
ENST00000543733,CHODL,NM_001204174
ENST00000566027,VPRBP,NM_014703
ENST00000563997,VPRBP,NM_001171904
ENST00000372643,WFDC10A,NM_080753
ENST00000313077,CYFIP1,NM_014608
ENST00000560848,CYFIP1,NM_001287810
ENST00000435939,CYFIP1,NM_001033028
ENST00000324384,WFDC11,NM_147197
ENST00000330523,WFDC10B,NM_172006
ENST00000335769,WFDC10B,NM_172131
ENST00000284885,TMPRSS15,NM_002772
ENST00000305479,WFDC13,NM_172005
ENST00000279058,SPINT4,NM_178455
ENST00000380851,IDH3B,NM_001258384
ENST00000380851,IDH3B,NM_174855
ENST00000380843,IDH3B,NM_006899
ENST00000245121,KATNAL2,NM_031303
ENST00000243938,WFDC3,NM_080614
ENST00000360314,CASS4,NM_001164116
ENST00000434344,CASS4,NM_001164115
ENST00000371336,CASS4,NM_001164114
ENST00000371336,CASS4,NM_020356
ENST00000400546,NCAM2,NM_004540
ENST00000299174,PPP1R14D,NM_017726
ENST00000427255,PPP1R14D,NM_001130143
ENST00000299338,FAM227B,NM_152647
ENST00000324750,MC5R,NM_005913
ENST00000327606,MC2R,NM_000529
ENST00000261893,LACTB,NM_032857
ENST00000413507,LACTB,NM_171846
ENST00000413507,LACTB,NM_001288585
ENST00000355112,BLM,NM_000057
ENST00000355112,BLM,NM_001287246
ENST00000560509,BLM,NM_001287247
ENST00000559724,BLM,NM_001287248
ENST00000352957,MRPL39,NM_017446
ENST00000307301,MRPL39,NM_080794
ENST00000590202,ZNF519,NM_145287
ENST00000217131,CTSZ,NM_001336
ENST00000365608,RNU6-81P,NR_046946
ENST00000023939,RTFDC1,NM_016407
ENST00000023939,RTFDC1,NM_001283036
ENST00000395881,RTFDC1,NM_001283037
ENST00000357348,RTFDC1,NM_001283035
ENST00000562057,SPINT1,NM_003710
ENST00000562057,SPINT1,NM_181642
ENST00000431806,SPINT1,NM_001032367
ENST00000380648,EBF4,NM_001110514
ENST00000217133,TUBB1,NM_030773
ENST00000267843,FGF7,NM_002009
ENST00000358970,POTEC,NM_001137671
ENST00000372622,DNTTIP1,NM_052951
ENST00000591973,TCEB3CL2,NM_001242907
ENST00000400532,JAM2,NM_001270408
ENST00000480456,JAM2,NM_001270407
ENST00000480456,JAM2,NM_021219
ENST00000243997,ATP5E,NM_006886
ENST00000451265,TCEB3CL,NM_001100817
ENST00000330964,RPS27L,NM_015920
ENST00000330682,TCEB3C,NM_145653
ENST00000332567,TCEB3B,NM_016427
ENST00000382500,FOXD4,NM_207305
ENST00000321437,RAB8B,NM_016530
ENST00000356455,UBE2C,NM_007019
ENST00000335046,UBE2C,NM_181799
ENST00000243893,UBE2C,NM_181803
ENST00000352551,UBE2C,NM_181800
ENST00000372568,UBE2C,NM_181801
ENST00000405520,UBE2C,NM_181802
ENST00000362511,RNU6-79P,NR_046945
ENST00000243913,GCNT7,NM_080615
ENST00000355937,SLMO2,NM_016045
ENST00000371033,SLMO2,NM_001256403
ENST00000363397,RNU6-66P,NR_046936
ENST00000300605,HDHD2,NM_032124
ENST00000400090,ATP5J,NM_001003697
ENST00000400087,ATP5J,NM_001003696
ENST00000400093,ATP5J,NM_001003703
ENST00000400093,ATP5J,NM_001685
ENST00000400093,ATP5J,NM_001003701
ENST00000373656,ZBTB26,NM_020924
ENST00000371328,FAM209A,NM_001012971
ENST00000403028,DTWD1,NM_001144955
ENST00000251250,DTWD1,NM_020234
ENST00000380605,CPXM1,NM_001184699
ENST00000380605,CPXM1,NM_019609
ENST00000371325,FAM209B,NM_001013646
ENST00000220507,RHOV,NM_133639
ENST00000268171,FURIN,NM_002569
ENST00000337451,NIPA2,NM_030922
ENST00000398013,NIPA2,NM_001008892
ENST00000539711,NIPA2,NM_001008894
ENST00000359727,NIPA2,NM_001184888
ENST00000398014,NIPA2,NM_001008860
ENST00000354828,GABPA,NM_001197297
ENST00000400075,GABPA,NM_002040
ENST00000201031,TFAP2C,NM_003222
ENST00000390930,SNORD17,NR_003045
ENST00000371030,ZNF831,NM_178457
ENST00000383875,SNORD58A,NR_002571
ENST00000372555,TNNC2,NM_003279
ENST00000220509,VPS18,NM_020857
ENST00000607313,SNORD58B,NR_002572
ENST00000261879,APH1B,NM_031301
ENST00000261879,APH1B,NM_001145646
ENST00000373647,RABGAP1,NM_012197
ENST00000256433,IER3IP1,NM_016097
ENST00000337938,EDN3,NM_207034
ENST00000311585,EDN3,NM_207032
ENST00000395654,EDN3,NM_207033
ENST00000371028,EDN3,NM_000114
ENST00000249749,DLL4,NM_019074
ENST00000380585,TMEM239,NM_001167670
ENST00000358984,ANKRD30B,NM_001145029
ENST00000395863,BMP7,NM_001719
ENST00000425639,SKOR2,NM_001278063
ENST00000400404,SKOR2,NM_001037802
ENST00000603872,C20orf141,NM_001256538
ENST00000380589,C20orf141,NM_080739
ENST00000373642,GPR21,NM_005294
ENST00000356521,CBWD1,NM_018491
ENST00000382447,CBWD1,NM_001145356
ENST00000314367,CBWD1,NM_001145355
ENST00000459229,SNORA84,NR_003704
ENST00000363922,SNORA80,NR_002996
ENST00000360652,PCED1A,NM_022760
ENST00000356872,PCED1A,NM_001271168
ENST00000262160,SMAD2,NM_005901
ENST00000402690,SMAD2,NM_001003652
ENST00000356825,SMAD2,NM_001135937
ENST00000410859,RNU6-67P,NR_046937
ENST00000284509,ATP8B4,NM_024837
ENST00000384285,RNU6-72P,NR_046941
ENST00000348403,STRBP,NM_018387
ENST00000360998,STRBP,NM_001171137
ENST00000328850,FES,NM_002005
ENST00000414248,FES,NM_001143785
ENST00000394300,FES,NM_001143783
ENST00000444422,FES,NM_001143784
ENST00000337435,NIPA1,NM_144599
ENST00000337435,NIPA1,NM_001142275
ENST00000371263,SPO11,NM_012444
ENST00000345868,SPO11,NM_198265
ENST00000178638,CA12,NM_001218
ENST00000344366,CA12,NM_206925
ENST00000359926,PHACTR3,NM_001199505
ENST00000371015,PHACTR3,NM_080672
ENST00000355648,PHACTR3,NM_001199506
ENST00000395636,PHACTR3,NM_183244
ENST00000361300,PHACTR3,NM_183246
ENST00000541461,PHACTR3,NM_001281507
ENST00000382387,C9orf66,NM_152569
ENST00000399799,ROCK1,NM_005406
ENST00000446533,CHAC1,NM_024111
ENST00000446533,CHAC1,NM_001142776
ENST00000515944,RNU6-75P,NR_046942
ENST00000462307,SNX21,NM_001042633
ENST00000342644,SNX21,NM_152897
ENST00000342644,SNX21,NM_033421
ENST00000342644,SNX21,NM_001042632
ENST00000384504,SNORA37,NR_002970
ENST00000373631,CRB2,NM_173689
ENST00000395841,RAE1,NM_003610
ENST00000395840,RAE1,NM_001015885
ENST00000380445,VPS16,NM_022575
ENST00000380469,VPS16,NM_080413
ENST00000346798,APP,NM_000484
ENST00000354192,APP,NM_001136129
ENST00000348990,APP,NM_001204303
ENST00000348990,APP,NM_201414
ENST00000357903,APP,NM_201413
ENST00000440126,APP,NM_001136016
ENST00000439274,APP,NM_001136130
ENST00000358918,APP,NM_001204302
ENST00000358918,APP,NM_001204301
ENST00000448388,APP,NM_001136131
ENST00000217455,ACOT8,NM_005469
ENST00000401393,INO80,NM_017553
ENST00000267842,SLC27A2,NM_003645
ENST00000380902,SLC27A2,NM_001159629
ENST00000400113,TUBA3C,NM_006001
ENST00000543500,MTRNR2L3,NM_001190472
ENST00000356208,RBM38,NM_017495
ENST00000440234,RBM38,NM_183425
ENST00000469391,DOCK8,NM_001190458
